0.07	1.02	14178.00	310.00	13321.00	0.60	9.00	105000000.00	0.09	74.43	0.00	-0.02	14178.00	13321.00	14488.00	-1052.00	0.00	-220.00	0.21	0.08	-90.15	-90.15	0.52	44.00	-1.00	-0.07	-0.90	0.12	0.04	-0.50	0.00	0.00	0.00	0.00	0.00	0.00
0.41	2.58	5653.39	121.07	474.53	0.32	9.00	-110.75	9.60	1191.37	5.67	4.25	5653.39	474.53	5774.46	158.53	4.53	2017.49	-0.53	0.08	3.03	0.00	0.67	27.06	0.07	0.03	0.03	166506000.00	0.29	0.08	0.00	0.00	0.00	0.00	0.00	0.00
0.44	4.83	3208.99	5991.93	1490.39	0.33	10.00	26.45	5.17	126.62	0.08	-0.17	3208.99	1490.39	9200.92	79.65	0.00	-256.58	0.71	0.09	1.03	0.00	1.03	2.26	0.06	0.01	0.01	0.43	0.06	0.06	0.00	0.00	0.00	0.00	4.00	1.00
0.56	1.63	12650.01	2230.71	7101.41	1.09	10.00	2207.77	1.06	115.34	0.09	-0.09	12650.01	7101.41	14880.72	51.12	17.05	-628.73	-0.48	-0.09	0.68	0.00	1.31	37.87	0.01	0.00	0.01	1.35	0.40	0.01	19.00	0.00	0.00	0.00	0.00	19.00
0.89	3.78	2638.35	1745.72	824.85	0.30	11.00	-471.55	3.83	308.44	1.43	0.30	2638.35	824.85	4384.07	-72.88	0.00	249.69	-0.80	0.17	-2.10	0.00	1.31	76.75	-0.03	-0.02	-0.02	5.83	0.13	-0.03	1.00	0.00	0.00	0.00	1.00	0.00
0.65	2.39	28992617.87	51511916.14	3588950.27	0.04	6.00	-60.54	21.43	795.75	2.36	0.83	28992617.87	3588950.27	80504534.01	58651.74	0.00	2969552.31	0.01	0.02	0.08	-0.38	0.89	0.00	0.00	0.00	0.00	2.18	0.01	0.00	0.00	0.00	0.00	0.00	1.00	15.00
0.00	0.00	1992.09	1224.03	1444.39	2.43	11.00	0.00	1.23	117.26	0.00	-0.03	1992.09	1444.39	3216.12	-1912.29	157.76	-50.06	1.03	1.79	-107.95	0.00	0.00	1.37	-191229000.00	-0.55	-1.08	4.46	0.41	-0.91	0.00	0.00	0.00	0.00	0.00	0.00
0.50	2.82	114167.27	49659.37	99854.10	2.76	8.00	8.46	0.56	89.92	0.21	0.39	114167.27	99854.10	163826.64	3887.12	716.40	38919.05	-1.07	-0.17	6.64	16.43	2.01	423.86	0.07	0.03	0.07	1.62	0.24	0.08	34.00	0.00	0.00	0.00	72.00	30.00
1.03	1.94	1494.03	1060.57	596.80	0.78	10.00	-984.94	1.13	246.67	0.50	-0.38	1494.03	596.80	2554.60	496.05	50.82	-226.39	-4.43	0.89	25.34	0.00	0.46	350.54	0.32	0.21	0.60	31.85	0.27	0.50	2.00	0.00	0.00	0.00	2.00	1.00
0.40	4.41	7290.29	54.07	2280.97	0.38	10.00	565.58	2.22	233.15	0.11	-0.55	7290.29	2280.97	7344.36	-20.46	13.65	-1257.32	-0.97	-0.11	-0.40	0.00	1.09	8.81	-0.01	0.00	0.00	0.97	0.26	0.00	1.00	0.00	0.00	0.00	0.00	0.00
1.03	4.65	9784.64	789.75	4633.78	1.11	10.00	-1028.67	1.17	132.94	0.53	0.28	9784.64	4633.78	10574.39	1369.87	235.93	1300.75	0.01	0.00	24.06	28.21	0.90	258.75	0.14	0.15	0.24	1.57	0.54	0.19	0.00	0.00	0.00	0.00	0.00	1.00
2.70	4.24	66602.61	8826.63	64845.87	95.88	8.00	99.28	0.26	74.88	0.04	0.00	66602.61	64845.87	75429.24	5664.93	700.47	0.00	0.59	0.29	33.85	0.00	117.58	0.00	0.03	0.08	0.54	9.33	2.23	0.04	0.00	0.00	0.00	0.00	11.00	6.00
0.66	1.93	6671.75	159.28	964.51	0.39	11.00	-179.47	4.86	691.72	3.63	0.45	6671.75	964.51	6831.03	667.63	43.56	429.70	-0.17	0.28	11.78	0.00	1.03	15.66	0.15	0.10	0.12	222135000.00	0.33	0.19	0.00	0.00	0.00	0.00	0.00	0.00
0.72	3.97	72079.69	186.50	53640.19	0.00	4.00	5193270000.00	0.98	88.16	0.26	-0.14	72079.69	53640.19	140809.93	7289.08	0.00	-7259.48	0.45	0.39	10.44	0.00	0.00	0.00	0.14	0.06	0.10	0.00	0.00	1.47	4.00	0.00	0.00	0.00	2.00	20.00
0.86	2.19	137126.70	1175223.71	257052.64	-0.48	4.00	3.17	0.41	50.91	0.19	0.44	137126.70	257052.64	1312350.41	22723.22	2354.51	112003.83	-0.21	0.08	5.96	0.00	1.13	138076.58	0.19	0.02	0.06	9.11	0.04	0.25	0.00	0.00	0.00	0.00	0.00	18.00
6.19	76427000.00	123.47	30.64	131.19	-43.28	14.00	444.34	0.17	94.05	0.81	0.10	123.47	131.19	154.11	-9.60	0.00	12.93	-4.66	-0.18	-41.87	0.00	1.06	15.29	-0.01	-0.06	-0.42	4175.73	2.17	-0.01	0.00	0.00	0.00	0.00	0.00	0.00
0.55	2913000.00	53.16	0.78	0.01	0.00	13.00	2913000.00	5387.61	236400.00	2361.64	-7540.46	53.16	0.01	53.94	-44.28	0.00	-75.48	2903000.00	5394000.00	-82.11	0.00	0.00	0.00	-1.52	-0.82	-0.82	0.00	0.00	-442.76	0.00	0.00	0.00	0.00	0.00	0.00
0.68	2.12	279.45	49.52	218.39	2.70	4.00	152.30	0.36	91.51	0.24	-0.04	279.45	218.39	328.97	8.33	2.60	-9.42	-0.55	0.17	9.59	0.00	1.37	2.42	0.04	0.03	0.10	2.07	0.50	0.06	19.00	0.00	0.00	0.00	12.00	551.00
1.06	1.60	11025.04	2656.93	2565.28	0.60	7.00	484.25	3.97	404.14	0.86	0.56	11025.04	2565.28	13681.97	3003.92	466.89	1445.97	0.33	0.36	27.49	0.00	0.83	204.00	0.26	0.25	0.27	7.77	0.37	0.43	1.00	0.00	0.00	0.00	0.00	0.00
4.04	9.69	176.99	67.21	1005.00	-0.38	14.00	45.16	-0.76	17.61	0.03	-0.20	176.99	1005.00	244.20	-327.69	0.00	-197.10	-0.50	-0.38	43.07	-102.86	0.93	2.20	-0.46	-1.34	0.43	31608000.00	1.29	-0.31	5.00	0.00	0.00	0.00	6.00	9.00
0.07	1.29	5293.27	42.41	239.10	0.02	9.00	-93.29	21.32	2213.83	15.14	-6.33	5293.27	239.10	5335.68	-4.35	21.60	-1513.95	10.60	51.36	-0.09	0.00	0.19	0.00	-0.01	0.00	0.00	10411000.00	0.02	0.04	4.00	0.00	0.00	0.00	0.00	5.00
0.16	2.24	118610.28	18792.97	19166.35	0.11	8.00	9.45	0.03	487.90	0.08	0.62	118610.28	19166.35	137403.25	1936.88	98.58	11806.99	4.08	3.21	53.93	0.00	0.14	4539.50	0.10	0.01	0.54	0.44	0.08	0.12	0.00	0.00	0.00	0.00	0.00	1.00
